State, P#0_T#3116046208, Thread state, 0.000000, 10.907597, 10.907597, 0.000000, Working
State, P#0_T#3058730752, Thread state, 10.859054, 10.859430, 0.000376, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3058730752, Thread state, 10.870248, 10.871355, 0.001107, 1.000000, GOMP_Section_State
State, P#0_T#3058730752, Thread state, 10.870415, 10.870647, 0.000232, 2.000000, GOMP_For
State, P#0_T#3058730752, Thread state, 10.870819, 10.871187, 0.000368, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3058730752, Thread state, 10.872297, 10.873500, 0.001203, 1.000000, GOMP_Section_State
State, P#0_T#3058730752, Thread state, 10.872460, 10.872652, 0.000192, 2.000000, GOMP_For
State, P#0_T#3058730752, Thread state, 10.872813, 10.873292, 0.000479, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3058730752, Thread state, 10.877232, 10.878384, 0.001152, 1.000000, GOMP_Section_State
State, P#0_T#3058730752, Thread state, 10.877389, 10.877585, 0.000196, 2.000000, GOMP_For
State, P#0_T#3058730752, Thread state, 10.877705, 10.878244, 0.000539, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3058730752, Thread state, 10.879974, 10.881078, 0.001104, 1.000000, GOMP_Section_State
State, P#0_T#3058730752, Thread state, 10.880120, 10.880304, 0.000184, 2.000000, GOMP_For
State, P#0_T#3058730752, Thread state, 10.880511, 10.880922, 0.000411, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3050010368, Thread state, 10.809101, 10.907597, 0.098496, 0.000000, Working
State, P#0_T#3050010368, Thread state, 10.831594, 10.844876, 0.013282, 1.000000, GOMP_Section_State
State, P#0_T#3050010368, Thread state, 10.833018, 10.835877, 0.002859, 2.000000, GOMP_For
State, P#0_T#3050010368, Thread state, 10.836757, 10.844055, 0.007298, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3050010368, Thread state, 10.855802, 10.857178, 0.001376, 1.000000, GOMP_Section_State
State, P#0_T#3050010368, Thread state, 10.855998, 10.856248, 0.000250, 2.000000, GOMP_For
State, P#0_T#3050010368, Thread state, 10.856408, 10.856985, 0.000577, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3050010368, Thread state, 10.858550, 10.859677, 0.001127, 1.000000, GOMP_Section_State
State, P#0_T#3050010368, Thread state, 10.858755, 10.858960, 0.000205, 2.000000, GOMP_For
State, P#0_T#3050010368, Thread state, 10.859118, 10.859516, 0.000398, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3050010368, Thread state, 10.870237, 10.871422, 0.001185, 1.000000, GOMP_Section_State
State, P#0_T#3050010368, Thread state, 10.870432, 10.870654, 0.000222, 2.000000, GOMP_For
State, P#0_T#3050010368, Thread state, 10.870833, 10.871252, 0.000419, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3050010368, Thread state, 10.872239, 10.873484, 0.001245, 1.000000, GOMP_Section_State
State, P#0_T#3050010368, Thread state, 10.872426, 10.872644, 0.000218, 2.000000, GOMP_For
State, P#0_T#3050010368, Thread state, 10.872785, 10.873274, 0.000489, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3050010368, Thread state, 10.877170, 10.878418, 0.001248, 1.000000, GOMP_Section_State
State, P#0_T#3050010368, Thread state, 10.877349, 10.877598, 0.000249, 2.000000, GOMP_For
State, P#0_T#3050010368, Thread state, 10.877758, 10.878274, 0.000516, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3050010368, Thread state, 10.879912, 10.881053, 0.001141, 1.000000, GOMP_Section_State
State, P#0_T#3050010368, Thread state, 10.880079, 10.880254, 0.000175, 2.000000, GOMP_For
State, P#0_T#3050010368, Thread state, 10.880411, 10.880892, 0.000481, 2.000000, GOMP_Implicit_Barrier
